رقم الحديث;طرف الحديث;اسم الصحابي الراوي;تخريج الحديث;درجة الحديث
144;عثمان بن عبد الله ابن موهب قال دخلنا على أم سلمة فأخرجت إلينا شعرات حمراء من شعر رسول الله ﷺ;أم سلمة;البخاري (1/78/8)، وابن ماجه (3628);صحيح
145;كان النبيُّ ﷺ يلبس السِّبتية ويُصفِّر لحيته بالوَرس والزعفران;ابن عمر;أبو داود (4210)، والنسائي (1/16);صحيح
146;إن أحسن ما غيَّرتم به هذا الشيب الحناء والكتم;أبو ذر ﵁;الخمسة إلا البخاري، وصحَّحه الترمذي;صحيح
147;إن اليهود والنصارى لا يصبُغون فخالفوهم;أبو هريرة;البخاري (2/206/7)، ومسلم (1/153)، وأبو داود (4212);متفق عليه
148;ما أحسن هذا؟ قال: أحسن به وقد خضب بالحناء والكتم;ابن عباس;أبو داود (4211)، وابن ماجه (3626);صحيح
149;كان النبيُّ ﷺ يخضب وكان شعره يبلغ كتفيه أو منكبيه;أبو رمثة;أحمد (2/227)، والنسائي (1/16)، وأبو داود (4205);صحيح
150;كان شعر رسول الله ﷺ فوق الوَفرة ودون الجُمَّة;عائشة;الخمسة إلا البخاري، وصحَّحه الترمذي;صحيح
151;أن النبيَّ ﷺ كان لا يشيب إلا يسيراً ولو تُرِك لأشبع منه اللون;أنس بن مالك;البخاري (1/34/7)، ومسلم (4/175)، وأحمد (3/108);متفق عليه
152;من كان له شعر فليكرمه;أبو هريرة;أبو داود (4163)، والبيهقي (1/42)، وأحمد (2/303);حسن
153;نهى النبيُّ ﷺ أن يُحلق رأس الرجل من غير مرض;ابن عمر;الخمسة إلا البخاري، وصحَّحه الترمذي;صحيح
154;رأى النبيُّ ﷺ صبياً قد حلق بعض رأسه وترك بعضه فنهى عن ذلك وقال: احلقوا كله أو اتركوا كله;ابن عمر;أحمد (2/88)، وأبو داود (4195)، والنسائي (1/16)، وابن ماجه (3637);صحيح
155;نهى النبيُّ ﷺ عن القزع وقال: احلقوا كله أو اتركوا كله;ابن عمر;البخاري (2/206/7)، ومسلم (3/155)، وأبو داود (4193);متفق عليه
156;نهى النبيُّ ﷺ عن الأخذ من الشوارب أو عن تقصيرها من شارب العانة والرأس;المقداد;أبو داود (4198)، وابن ماجه (3639);صحيح
157;أن رسول الله ﷺ أمهل آل جعفر ثلاثة أيام ثم أتاهم فقال: لا تبكوا على أخي بعد اليوم;عبد الله بن جعفر;أحمد (1/205)، وأبو داود (3124)، والنسائي (4/21);صحيح
158;من اكتحل فليوتر ومن فعل فقد أحسن ومن لا فلا حرج;ابن عباس;أبو داود (2386)، والترمذي (1757)، والنسائي (1/16);حسن
159;أن النبيَّ ﷺ كانت له مكحلة يكتحل منها ثلاثة في كل ليلة;ابن عباس;الترمذي (1755)، وابن ماجه (3498)، والبيهقي (1/20)، وابن حبان (1477);حسن
160;حُبِّب إليَّ من دنياكم النساء والطيب وجُعِلت قرَّة عيني في الصلاة;أنس بن مالك;النسائي (7/61)، وأحمد (3/128)، وابن حبان (2760);صحيح
161;كانت الحمام سُنَّة في عهد رسول الله ﷺ فيه;أبو هريرة;أبو داود (4011)، وابن ماجه (3695)، والترمذي (2802);صحيح
162;من شرب في آنية الذهب والفضة أو إناء ذهب أو فضة فإنما يجرجر في بطنه نار جهنم;ابن عمر;البخاري (7/146)، ومسلم (6/134);متفق عليه
163;هو الطيب أطيب الطيب;أبو سعيد الخدري;الجماعة إلا البخاري;صحيح
164;كان النبيّ ﷺ يشرب في آنية الذهب والفضة;أنس بن مالك;أبو داود (3723)، والنسائي (8/203);صحيح
165;إن الطيب الذي يشرب في آنية الفضة إنما يجرجر في بطنه نار جهنم;أم سلمة;البخاري (7/178/3)، ومسلم (6/135);متفق عليه
166;جُعلت لي الأرض مسجداً وطهوراً فأيما رجل من أمتي أدركته الصلاة فعنده مسجده وطهوره;جابر بن عبد الله;البخاري (1/91)، ومسلم (1/370)، وأحمد (3/304);متفق عليه
167;إنما الأعمال بالنيات وإنما لكل امرئ ما نوى فمن كانت هجرته إلى الله ورسوله فهجرته إلى الله ورسوله ومن كانت هجرته إلى دنيا يصيبها أو امرأة يتزوجها فهجرته إلى ما هاجر إليه;عمر بن الخطاب;البخاري (1/9)، ومسلم (6/48)، وأبو داود (2201);متفق عليه
168;لا صلاة لمن لم يذكر اسم الله عليه ولا يذكر الله عليه;أبو هريرة;أحمد (2/418)، وأبو داود (101)، وابن ماجه (399);صحيح
169;رأيت النبيَّ ﷺ توضأ في تَور من نُحاس;عبد الله بن زيد بن عاصم;البخاري (1/36)، وأبو داود (122)، وابن ماجه (366);صحيح
170;أتينا النبيّ ﷺ مع أبي وله لمة فقال: ائتيني بصبي فأتيته، فحنّكه ودعا له;عبد الله بن أبي طلحة;البخاري (1/78/8)، ومسلم (7/78);متفق عليه
171;إذا استيقظ أحدكم من نومه فليستنثر ثلاثاً فإن الشيطان يبيت على خيشومه;أبو هريرة;البخاري (1/49)، ومسلم (1/161)، وأبو داود (144);متفق عليه
172;إذا توضأ أحدكم فليجعل في أنفه ماء ثم لينتثر;عبد الله بن زيد بن عاصم;البخاري (1/56)، ومسلم (1/148);متفق عليه
173;كنت أغتسل أنا ورسول الله ﷺ من إناء واحد تختلف أيدينا فيه وكنت أنهاه عن الجنابة وكان لا يقبل مني وكان رسول الله ﷺ يقول: إنك لن تفعلي بي شيئاً تضريني;عائشة;البخاري (1/72)، ومسلم (1/175);متفق عليه
174;إذا توضأ أحدكم فليجعل في أنفه ماء ثم لينتثر ومن استجمر فليوتر;أبو هريرة;البخاري (1/55)، ومسلم (1/161);متفق عليه
175;ائتني بأحجار أستنجي بها ولا تأتني بعظم ولا روثة;ابن مسعود;البخاري (1/57/4)، وابن خزيمة (83);صحيح
176;كان النبيّ ﷺ يتوضأ فتوضأت بوضوء رسول الله ﷺ;المقداد بن الأسود;أحمد (6/2)، والنسائي (1/33)، وأبو داود (209);صحيح
177;أمرنا رسول الله ﷺ بالمضمضة والاستنشاق;لقيط بن صبرة;أحمد (4/211)، وأبو داود (142)، وابن ماجه (449);صحيح
178;بالغ في الاستنشاق إلا أن تكون صائماً;لقيط بن صبرة;أحمد (4/33)، وأبو داود (142)، والترمذي (38);صحيح
179;استنثروا مرتين بالغتين أو ثلاثاً;ابن عباس;أحمد (1/228)، وأبو داود (141)، وابن ماجه (408);صحيح
180;ما منكم من أحد يقرب وضوءه ثم يتمضمض ويستنشق ويستنثر إلا خرَّت خطايا وجهه وفيه وخياشيمه مع الماء;أبو هريرة;مسلم (1/148)، وأبو داود (106)، والنسائي (1/95);صحيح
181;أخذ ابن عباس كفاً من ماء فغسل وجهه ثم أخذ آخر فضمه إلى الأول فغسل يده ثم أخذ آخر فمسح رأسه ثم أخذ آخر فمسح به رجله فغسلها ثم قال: هكذا رأيت رسول الله ﷺ يتوضأ;ابن عباس;البخاري (1/40)، ومسلم (1/141);متفق عليه
182;أن النبيَّ ﷺ كان يتوضأ فحنّكه ودعا له;عثمان بن عبد الله;البخاري (1/67)، وابن ماجه (433);صحيح
183;كان النبيّ ﷺ إذا توضأ أدار الخاتم على إصبعه;أبو رافع;ابن ماجه (449)، والدارقطني (1/82);ضعيف
184;رأيت النبيَّ ﷺ وصف وضوء رسول الله ﷺ فتمضمض واستنشق ثلاثاً ثلاثاً من كفة واحدة فغسل وجهه ثلاثاً ويديه إلى المرفقين ثلاثاً ثلاثاً ومسح برأسه وأذنيه;أبو أمامة;أحمد (5/254)، وأبو داود (107)، وابن ماجه (459);حسن صحيح
185;سألت عبد الله بن زيد يا ابن عمّ أتوضأ لك وضوء رسول الله ﷺ؟ قلت نعم فتوضأ;ابن عباس;البخاري (1/40)، ومسلم (1/141);متفق عليه
186;كنا مع رسول الله ﷺ وأبو بكر وعمر وعثمان ثم شرح الوضوء;عثمان بن عفان;البخاري (1/36)، ومسلم (1/139);متفق عليه
187;توضأ مرة مرة وقال: هذا الوضوء الذي لا يقبل الله الصلاة إلا به;ابن عباس;البخاري (1/41)، وأبو داود (101);صحيح
188;توضأ مرتين مرتين;ابن عباس;البخاري (1/41)، وأبو داود (103);صحيح
189;توضأ ثلاثاً ثلاثاً وقال: هذا وضوئي ووضوء الأنبياء قبلي;ابن عباس;أبو داود (107)، والترمذي (48);حسن
190;كان النبيّ ﷺ يتوضأ بالمد ويغتسل بالصاع;أنس بن مالك;البخاري (1/66)، ومسلم (1/175);متفق عليه
191;الدلك المأمور به في الوضوء يكفي يد واحدة;المستورد بن شداد;أحمد (4/229)، وأبو داود (140);صحيح
192;رأيت النبيَّ ﷺ مسح رأسه بيديه فأقبل بهما وأدبر بدأ بمقدَّم رأسه ثم ذهب بهما إلى قفاه ثم ردَّهما حتى رجع إلى المكان الذي بدأ منه;عبد الله بن زيد بن عاصم;الجماعة;متفق عليه
193;رأيت رسول الله ﷺ مسح برأسه كله مرة واحدة من مقدَّم رأسه إلى قفاه;الربيّع بنت معوّذ;أحمد (6/359)، وأبو داود (128);حسن صحيح
194;مسح النبيّ ﷺ برأسه وأذنيه ظاهرهما وباطنهما;ابن عمرو;أبو داود (132)، والترمذي (37)، وابن ماجه (440);حسن
195;رأيت النبيَّ ﷺ توضأ فمسح رأسه من أمامه وخلفه;أنس بن مالك;البخاري (1/57)، ومسلم (1/145)، وأبو داود (130);متفق عليه
196;توضأ مرتين مرتين وقال: هذا الوضوء الذي يقبله الله;ابن عمر;البخاري (1/41)، وأحمد (2/9);صحيح
197;رأيت النبيَّ ﷺ توضأ ومسح على رأسه مرة واحدة;علي بن أبي طالب;أبو داود (96)، والترمذي (28);صحيح
198;رأيت النبيَّ ﷺ أخذ ماءً جديداً للأذنين;عبد الله بن عمرو;أبو داود (135)، وابن ماجه (442);حسن
199;مسح النبيُّ ﷺ على الأذنين بالسباحتين في داخلهما ومسح بإبهاميه ظاهر الأذنين;أنس بن مالك;ابن ماجه (443)، وابن خزيمة (174);صحيح
200;رأيت النبيَّ ﷺ يمسح أذنيه مع الرأس;ابن عمر;الترمذي (36)، وابن ماجه (441);صحيح
